contributors
"[{'contributors_names': ['gnwx', 'sumn2u', 'Anuj-Khadka', 'sahilxkhadka', 'hemants1703', 'RupeshBhandari'], 'contributions_count': [83, 64, 2, 2, 1, 1]}]"
"[{'contributors_names': ['rupali-codes', 'CBID2', 'Anmol-Baranwal', 'Oyebolade', 'parma1111', 'ujjawaltyagii', 'Soumyajit2825', 'Nishitbaria', 'navharsh', '0xabdulkhalid', 'Shiva-Sai-ssb', 'zvolcsey', 'Bhanuteja01', 'k-deepak04', 'Souvik-223', 'Ajay84sia', 'devWonderkind', 'ayushh1804', 'Parmesh119', 'priyankarpal', 'dev-AshishRanjan', 'Abhinavcode13', 'Eugene44-hub', 'ojasaklechayt', 'rony0000013', 'TreciaKS', 'madhurafulkar', 'MUK-Dev', 'SargamPuram', 'Tushar98644'], 'contributions_count': [78, 74, 57, 47, 26, 17, 17, 14, 14, 12, 9, 9, 8, 8, 8, 7, 7, 6, 6, 6, 6, 5, 5, 5, 5, 5, 5, 5, 5, 5]}]"
"[{'contributors_names': ['LondheShubham153', 'RishikeshOps', 'sitchatt', 'GovindSingh9447', 'Varsha-Verma', 'chxtan', 'shakhscode', 'TrainWithShubham', 'iamamash', 'abhinav2712', 'jayvardhan2111', 'NarayanadasuRakesh', '12rashic', 'sumanprasad007', 'Vaishvs', 'shubhamlondhe1996'], 'contributions_count': [167, 24, 13, 10, 10, 5, 5, 3, 2, 1, 1, 1, 1, 1, 1, 1]}]"
"[{'contributors_names': ['702573N', 'dranidis'], 'contributions_count': [108, 2]}]"
"[{'contributors_names': ['yacineMTB'], 'contributions_count': [22]}]"
"[{'contributors_names': ['jafarlihi'], 'contributions_count': [4]}]"
"[{'contributors_names': ['leoantony72'], 'contributions_count': [74]}]"
"[{'contributors_names': ['xinjiayu', 'weiwiegeng'], 'contributions_count': [4, 3]}]"
"[{'contributors_names': ['acheong08'], 'contributions_count': [23]}]"
"[{'contributors_names': ['actions-user', 'yihong0618', 'mengziin'], 'contributions_count': [496, 124, 1]}]"
"[{'contributors_names': ['kadirnar'], 'contributions_count': [113]}]"
"[{'contributors_names': ['dilmerv'], 'contributions_count': [51]}]"
"[{'contributors_names': ['acantril', 'AleksandraLj'], 'contributions_count': [18, 2]}]"
"[{'contributors_names': ['feifeid47'], 'contributions_count': [17]}]"
"[{'contributors_names': ['Sorted1'], 'contributions_count': [85]}]"
"[{'contributors_names': ['TimMikeladze', 'renovate[bot]'], 'contributions_count': [65, 7]}]"
"[{'contributors_names': ['Catrainbow233', 'Verox001', 'ElainaForever', 'Pigeon2333', 'dependabot[bot]', 'rainbow194', 'SenderFanBeiNing', 'LRan1028'], 'contributions_count': [226, 23, 8, 7, 7, 5, 3, 1]}]"
"[{'contributors_names': ['Fishwaldo', 'gamelaster', 'grant-olson', 'leow149', 'alexhorner', 'newluhux', 'wpwrak', 'ewalbridge'], 'contributions_count': [37, 3, 2, 2, 1, 1, 1, 1]}]"
"[{'contributors_names': ['duplidev', 'jordoncodes'], 'contributions_count': [64, 6]}]"
"[{'contributors_names': ['xabblll', 'FormalSnake'], 'contributions_count': [16, 1]}]"
"[{'contributors_names': ['weiyesing'], 'contributions_count': [121]}]"
"[{'contributors_names': ['corleytd'], 'contributions_count': [3]}]"
"[{'contributors_names': ['mostafaemara'], 'contributions_count': [9]}]"
"[{'contributors_names': ['avialxee', 'DIBYA31051996', 'upasnabaweja'], 'contributions_count': [46, 9, 5]}]"
"[{'contributors_names': ['zmedelis', 'behrica', 'rokasramas', 'dremeika'], 'contributions_count': [154, 17, 6, 1]}]"
"[{'contributors_names': ['styppo', 'gislik', 'dtonon', 'fernandolguevara', 'fiatjaf', 'w3irdrobot'], 'contributions_count': [80, 2, 1, 1, 1, 1]}]"
"[{'contributors_names': ['shellcromancer', '100DaysofYARA', 'wxsBSD', 'BitsOfBinary', 'MayerDaniel', 'silascutler', 'malvidin', 'stvemillertime', 'trinity-jbrown'], 'contributions_count': [95, 72, 52, 29, 19, 7, 5, 4, 3]}]"
"[{'contributors_names': ['FredyJabe', 'actions-user', 'JojoFR1', 'SunkyMP3G', 'RouterXdd', 'pepters', 'soppi666', '1stvaliduser', 'RGBProductions', 'UAdustry', 'ZielonyTrojkat', 'Zombaka', 'nehulos', 'Taras4k'], 'contributions_count': [215, 160, 150, 32, 23, 16, 15, 13, 6, 5, 4, 3, 2, 1]}]"
"[{'contributors_names': ['arvinxx', 'semantic-release-bot', 'chenshuai2144', 'GuanJdoJ', 'wjq990112', 'basala', 'Wxh16144'], 'contributions_count': [404, 117, 2, 1, 1, 1, 1]}]"
"[{'contributors_names': ['dai-shi'], 'contributions_count': [25]}]"
"[{'contributors_names': ['spencerwooo', 'renovate[bot]'], 'contributions_count': [93, 75]}]"
"[{'contributors_names': ['ShenZheng2000', 'LOUEY233'], 'contributions_count': [40, 1]}]"
"[{'contributors_names': ['Ort0x36', 'silascutler'], 'contributions_count': [69, 1]}]"
"[{'contributors_names': ['mildronize'], 'contributions_count': [227]}]"
"[{'contributors_names': ['harshitethic', 'Sansekai', 'fskhri', 'amimhayden22', 'dansja'], 'contributions_count': [33, 24, 1, 1, 1]}]"
"[{'contributors_names': ['rosszurowski'], 'contributions_count': [19]}]"
"[{'contributors_names': ['davebaol', 'wiidev'], 'contributions_count': [30, 6]}]"
"[{'contributors_names': ['TIHan', 'patriksvensson'], 'contributions_count': [604, 1]}]"
"[{'contributors_names': ['duyledat197', 'perfectbuii', 'glucozo192'], 'contributions_count': [88, 11, 1]}]"
"[{'contributors_names': ['yong-pii'], 'contributions_count': [15]}]"
"[{'contributors_names': ['alitaslimi'], 'contributions_count': [78]}]"
"[{'contributors_names': ['giibeom'], 'contributions_count': [20]}]"
"[{'contributors_names': ['Halvani', 'sebawastaken'], 'contributions_count': [66, 3]}]"
"[{'contributors_names': ['AKD-01', 'srivastavaritik', 'rayyan016', 'tajmalnas', 'abhi03ruchi', 'heyhimansh', 'S-ishita', 'tuhinaww', 'bhaskarkumar1', 'manaver', 'harshit-002', 'shruti8302', 'Monson2002', 'Rishav1707', 'Sukhendu2002', 'gSayak', 'sachdevavaibhav', 'Akanksha-202', 'Ayan-M-Dev', 'Iamdivyak', 'GurleenSingh201', 'HimanshuNarware', 'mhr1812', 'nidhiparab', 'rishabhchaudhary0210', 'rt-001', 'Yashshukla11', 'abhinav-m22', 'Ahtaxam', 'akankshachanana1'], 'contributions_count': [94, 71, 12, 5, 5, 5, 4, 4, 3, 3, 3, 3, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]}]"
"[{'contributors_names': ['luchanos', 'AnthonyEvseev'], 'contributions_count': [35, 1]}]"
"[{'contributors_names': ['morleydragon', 'LYK-kunkun'], 'contributions_count': [95, 24]}]"
"[{'contributors_names': ['acorn1010'], 'contributions_count': [138]}]"
"[{'contributors_names': ['rohailaltaf', 'panicpanicpanic', 'timothywoo'], 'contributions_count': [286, 123, 12]}]"
